Site,Foliage,Wood,Bark,Fine Roots,Coarse Roots,Organic Soil,Mineral Soil,Citations
Harvard BDT,25,338,126,50,NA,24,20,"Nadelhoffer et al., 2004; Nadelhoffer et al. 1999"
Harvard NET,42,337,253,41,NA,25,19,"Nadelhoffer et al., 2004; Nadelhoffer et al. 1999"
Arnot,35,638,154,47,109,39,9,Goodale 2017
Alptala,42,500,167,56,91,19,17,Provioldi et al. 2005
Klosterhedeb,63,333,200,52,70,33,29,"Emmett 1998 (FEM), Gundersen and Rasmussen 1995, Tietema et al. 1998 (FEM), personal communication with P. Gundersen"
Harvard BDT Fertilized,23,321,120,48,NA,21,23,"Nadelhoffer et al., 2004; Nadelhoffer et al. 1999"
Harvard NET Fertilized,35,409,253,24,NA,23,26,"Nadelhoffer et al., 2004; Nadelhoffer et al. 1999"
Bear Brook Fertilized,37,413,NA,NA,NA,23,19,Nadelhoffer et al. 1999
Gårdsjön,NA,NA,NA,NA,NA,32,31,"Emmett 1998, FEM"
Aberb,28,NA,NA,NA,NA,22,18,"Emmett 1998, FEM"
Mean ± 1 SD,37 ± 12,411 ± 110,182 ± 55,45 ± 10,90 ± 20,26 ± 6,21 ± 6,
